Date,Mean GISTEMP,Mean GCAG
1906-04-06,-0.02,-0.0514
1906-05-06,-0.21,-0.2166
1906-06-06,-0.22,-0.1768
1906-07-06,-0.27,-0.2467
1906-08-06,-0.19,-0.2362
1906-09-06,-0.25,-0.3053
1906-10-06,-0.2,-0.2809
1906-11-06,-0.38,-0.3676
1906-12-06,-0.18,-0.165
1907-01-06,-0.44,-0.3443
1907-02-06,-0.53,-0.4038
1907-03-06,-0.25,-0.276
1907-04-06,-0.4,-0.3508
1907-05-06,-0.46,-0.4669
1907-06-06,-0.43,-0.3742
1907-07-06,-0.35,-0.3547
1907-08-06,-0.37,-0.3378
1907-09-06,-0.32,-0.3364
1907-10-06,-0.24,-0.3047
1907-11-06,-0.51,-0.5055
1907-12-06,-0.5,-0.3922
1908-01-06,-0.46,-0.36
1908-02-06,-0.36,-0.3753
1908-03-06,-0.58,-0.6041
1908-04-06,-0.46,-0.4832
1908-05-06,-0.4,-0.3982
1908-06-06,-0.39,-0.4062
1908-07-06,-0.35,-0.3874
1908-08-06,-0.45,-0.4787
1908-09-06,-0.33,-0.3973
1908-10-06,-0.43,-0.5169
1908-11-06,-0.51,-0.4833
1908-12-06,-0.5,-0.3846
1909-01-06,-0.7,-0.5499
1909-02-06,-0.47,-0.4563
1909-03-06,-0.52,-0.5399
1909-04-06,-0.59,-0.5264
1909-05-06,-0.54,-0.4512
1909-06-06,-0.52,-0.4145
1909-07-06,-0.43,-0.435
1909-08-06,-0.3,-0.3052
1909-09-06,-0.37,-0.3611
1909-10-06,-0.39,-0.3935
1909-11-06,-0.31,-0.2733
1909-12-06,-0.55,-0.4071
1910-01-06,-0.44,-0.3035
1910-02-06,-0.43,-0.3627
1910-03-06,-0.47,-0.4202
1910-04-06,-0.39,-0.33899999999999997
1910-05-06,-0.34,-0.2999
1910-06-06,-0.36,-0.3525
1910-07-06,-0.31,-0.3264
1910-08-06,-0.34,-0.3325
1910-09-06,-0.37,-0.3322
1910-10-06,-0.39,-0.4199
1910-11-06,-0.56,-0.4956
1910-12-06,-0.69,-0.5626
1911-01-06,-0.64,-0.5067
1911-02-06,-0.6,-0.5265
1911-03-06,-0.62,-0.5697
1911-04-06,-0.55,-0.5099
1911-05-06,-0.51,-0.4775
1911-06-06,-0.47,-0.4443
1911-07-06,-0.41,-0.4658
1911-08-06,-0.43,-0.4541
1911-09-06,-0.38,-0.3983
1911-10-06,-0.26,-0.3433
1911-11-06,-0.2,-0.2571
1911-12-06,-0.25,-0.2456
1912-01-06,-0.27,-0.2791
1912-02-06,-0.13,-0.1091
1912-03-06,-0.37,-0.3123
1912-04-06,-0.2,-0.2027
1912-05-06,-0.2,-0.2257
1912-06-06,-0.26,-0.26
1912-07-06,-0.41,-0.314
1912-08-06,-0.51,-0.4516
1912-09-06,-0.47,-0.5056
1912-10-06,-0.55,-0.5185
1912-11-06,-0.38,-0.4122
1912-12-06,-0.42,-0.3553
1913-01-06,-0.41,-0.3513
1913-02-06,-0.44,-0.3899
1913-03-06,-0.44,-0.4077
1913-04-06,-0.36,-0.3506
1913-05-06,-0.45,-0.39399999999999996
1913-06-06,-0.46,-0.3779
1913-07-06,-0.34,-0.3534
1913-08-06,-0.32,-0.32799999999999996
1913-09-06,-0.32,-0.3562
1913-10-06,-0.34,-0.3112
1913-11-06,-0.18,-0.1371
1913-12-06,-0.04,-0.0374
1914-01-06,0.02,0.0961
1914-02-06,-0.13,-0.1203
1914-03-06,-0.23,-0.1633
1914-04-06,-0.28,-0.2481
1914-05-06,-0.19,-0.1647
1914-06-06,-0.22,-0.1963
1914-07-06,-0.24,-0.2095
1914-08-06,-0.15,-0.1757
1914-09-06,-0.13,-0.1781
1914-10-06,-0.05,-0.0938
1914-11-06,-0.2,-0.1202
1914-12-06,-0.1,-0.0998
1915-01-06,-0.2,-0.1374
1915-02-06,-0.01,-0.0108
1915-03-06,-0.08,-0.1011
1915-04-06,0.07,0.0215
1915-05-06,-0.01,-0.0685
1915-06-06,-0.16,-0.0858
1915-07-06,-0.03,-0.0284
1915-08-06,-0.15,-0.076
1915-09-06,-0.12,-0.1111
1915-10-06,-0.22,-0.1722
1915-11-06,-0.12,-0.0116
1915-12-06,-0.25,-0.0503
1916-01-06,-0.2,-0.1797
1916-02-06,-0.23,-0.1759
1916-03-06,-0.31,-0.2944
1916-04-06,-0.25,-0.1978
1916-05-06,-0.27,-0.2245
1916-06-06,-0.44,-0.3834
1916-07-06,-0.34,-0.2889
1916-08-06,-0.27,-0.2743
1916-09-06,-0.29,-0.2616
1916-10-06,-0.28,-0.2651
1916-11-06,-0.42,-0.3957
1916-12-06,-0.78,-0.5742
1917-01-06,-0.46,-0.4299
1917-02-06,-0.53,-0.4721
1917-03-06,-0.47,-0.4287
1917-04-06,-0.38,-0.3146
1917-05-06,-0.48,-0.45
1917-06-06,-0.4,-0.3432
1917-07-06,-0.23,-0.1721
1917-08-06,-0.26,-0.1726
1917-09-06,-0.18,-0.0635
1917-10-06,-0.35,-0.2602
1917-11-06,-0.29,-0.1348
1917-12-06,-0.71,-0.5329
1918-01-06,-0.44,-0.2146
1918-02-06,-0.33,-0.2892
1918-03-06,-0.21,-0.1783
1918-04-06,-0.4,-0.2966
1918-05-06,-0.37,-0.276
1918-06-06,-0.28,-0.1829
1918-07-06,-0.22,-0.2024
1918-08-06,-0.26,-0.1777
1918-09-06,-0.14,-0.1481
1918-10-06,-0.03,-0.0998
1918-11-06,-0.16,-0.1154
1918-12-06,-0.3,-0.3195
1919-01-06,-0.21,-0.2424
1919-02-06,-0.19,-0.053
1919-03-06,-0.25,-0.2393
1919-04-06,-0.17,-0.0704
1919-05-06,-0.2,-0.1837
1919-06-06,-0.28,-0.2348
1919-07-06,-0.21,-0.2155
1919-08-06,-0.19,-0.2077
1919-09-06,-0.17,-0.1833
1919-10-06,-0.16,-0.22
1919-11-06,-0.29,-0.3178
1919-12-06,-0.35,-0.298
1920-01-06,-0.15,-0.1157
1920-02-06,-0.22,-0.2197
1920-03-06,-0.08,-0.0583
1920-04-06,-0.26,-0.2098
1920-05-06,-0.26,-0.1682
1920-06-06,-0.33,-0.2559
1920-07-06,-0.32,-0.2436
1920-08-06,-0.29,-0.2306
1920-09-06,-0.2,-0.1755
1920-10-06,-0.29,-0.2096
1920-11-06,-0.33,-0.251
1920-12-06,-0.47,-0.3886
1921-01-06,-0.04,-0.0598
1921-02-06,-0.21,-0.1494
1921-03-06,-0.28,-0.2176
1921-04-06,-0.36,-0.2059
1921-05-06,-0.36,-0.1917
1921-06-06,-0.31,-0.1665
1921-07-06,-0.16,-0.1123
1921-08-06,-0.24,-0.1964
1921-09-06,-0.16,-0.1481
1921-10-06,-0.06,-0.0662
1921-11-06,-0.16,-0.1859
1921-12-06,-0.18,-0.0822
1922-01-06,-0.34,-0.3221
1922-02-06,-0.44,-0.2945
1922-03-06,-0.13,-0.0787
1922-04-06,-0.22,-0.1301
1922-05-06,-0.34,-0.2647
1922-06-06,-0.32,-0.282
1922-07-06,-0.27,-0.2615
1922-08-06,-0.31,-0.2793
1922-09-06,-0.29,-0.2525
1922-10-06,-0.33,-0.2506
1922-11-06,-0.17,-0.1929
1922-12-06,-0.17,-0.1563
1923-01-06,-0.27,-0.2143
1923-02-06,-0.37,-0.3785
1923-03-06,-0.32,-0.2697
1923-04-06,-0.38,-0.3381
1923-05-06,-0.33,-0.2488
1923-06-06,-0.24,-0.1948
1923-07-06,-0.29,-0.282
1923-08-06,-0.3,-0.2824
1923-09-06,-0.28,-0.2454
1923-10-06,-0.13,-0.1619
1923-11-06,0.03,0.0285
1923-12-06,-0.06,0.0001
1924-01-06,-0.24,-0.2536
1924-02-06,-0.27,-0.1859
1924-03-06,-0.12,-0.113
1924-04-06,-0.35,-0.2466
1924-05-06,-0.19,-0.1903
1924-06-06,-0.28,-0.2259
1924-07-06,-0.27,-0.2216
1924-08-06,-0.35,-0.2895
1924-09-06,-0.3,-0.2836
1924-10-06,-0.36,-0.2879
1924-11-06,-0.23,-0.2942
1924-12-06,-0.43,-0.3912
1925-01-06,-0.34,-0.3246
1925-02-06,-0.35,-0.2783
1925-03-06,-0.24,-0.1692
1925-04-06,-0.25,-0.1633
1925-05-06,-0.3,-0.2233
1925-06-06,-0.34,-0.2291
1925-07-06,-0.3,-0.2093
1925-08-06,-0.19,-0.1374
1925-09-06,-0.13,-0.10400000000000001
1925-10-06,-0.17,-0.1326
1925-11-06,0.03,0.0584
1925-12-06,0.11,0.1358
1926-01-06,0.2,0.166
1926-02-06,0.07,0.0811
1926-03-06,0.12,0.0756
1926-04-06,-0.15,-0.1389
1926-05-06,-0.25,-0.1345
1926-06-06,-0.25,-0.1224
1926-07-06,-0.21,-0.1582
1926-08-06,-0.11,-0.0882
1926-09-06,-0.11,-0.1031
1926-10-06,-0.11,-0.084
1926-11-06,-0.06,-0.0784
1926-12-06,-0.3,-0.2158
1927-01-06,-0.28,-0.1723
1927-02-06,-0.21,-0.1917
1927-03-06,-0.39,-0.2563
1927-04-06,-0.31,-0.2207
1927-05-06,-0.25,-0.2286
1927-06-06,-0.27,-0.2014
1927-07-06,-0.15,-0.1035
1927-08-06,-0.19,-0.1145
1927-09-06,-0.06,-0.0275
1927-10-06,-0.01,0.013999999999999999
1927-11-06,-0.04,-0.0397
1927-12-06,-0.36,-0.3132
1928-01-06,-0.04,-0.08
1928-02-06,-0.12,-0.145
1928-03-06,-0.28,-0.263
1928-04-06,-0.29,-0.2444
1928-05-06,-0.3,-0.1866
1928-06-06,-0.41,-0.2777
1928-07-06,-0.21,-0.1773
1928-08-06,-0.25,-0.1997
1928-09-06,-0.2,-0.1904
1928-10-06,-0.19,-0.1256
1928-11-06,-0.09,-0.0679
1928-12-06,-0.2,-0.1713
1929-01-06,-0.47,-0.484
1929-02-06,-0.61,-0.5495
1929-03-06,-0.34,-0.2654
1929-04-06,-0.4,-0.2976
1929-05-06,-0.39,-0.2886
1929-06-06,-0.43,-0.2746
1929-07-06,-0.33,-0.2735
1929-08-06,-0.29,-0.2078
1929-09-06,-0.23,-0.2089
1929-10-06,-0.15,-0.1185
1929-11-06,-0.14,-0.0971
1929-12-06,-0.55,-0.5167
1930-01-06,-0.29,-0.3206
1930-02-06,-0.24,-0.2
1930-03-06,-0.08,-0.0549
1930-04-06,-0.26,-0.195
1930-05-06,-0.25,-0.1976
1930-06-06,-0.19,-0.1135
1930-07-06,-0.17,-0.0692
1930-08-06,-0.11,-0.09
1930-09-06,-0.11,-0.1043
1930-10-06,-0.08,-0.0011
1930-11-06,0.14,0.1368
1930-12-06,-0.09,0.0064
1931-01-06,-0.1,-0.047
1931-02-06,-0.22,-0.2225
1931-03-06,-0.06,-0.0061
1931-04-06,-0.21,-0.1625
1931-05-06,-0.22,-0.1499
1931-06-06,-0.06,-0.0185
1931-07-06,0.01,-0.0155
1931-08-06,0.0,0.0047
1931-09-06,-0.06,0.0035
1931-10-06,0.0,0.0092
1931-11-06,-0.12,-0.1139
1931-12-06,-0.1,-0.1052
1932-01-06,0.13,0.1547
1932-02-06,-0.18,-0.1794
1932-03-06,-0.2,-0.1799
1932-04-06,-0.07,-0.0324
1932-05-06,-0.22,-0.1674
1932-06-06,-0.3,-0.1578
1932-07-06,-0.24,-0.1208
1932-08-06,-0.24,-0.1757
1932-09-06,-0.11,-0.0695
1932-10-06,-0.1,-0.0926
1932-11-06,-0.26,-0.1945
1932-12-06,-0.22,-0.1861
1933-01-06,-0.34,-0.3073
1933-02-06,-0.32,-0.3167
1933-03-06,-0.29,-0.2476
1933-04-06,-0.23,-0.2044
1933-05-06,-0.25,-0.2091
1933-06-06,-0.32,-0.2007
1933-07-06,-0.2,-0.18100000000000002
1933-08-06,-0.23,-0.1889
1933-09-06,-0.26,-0.2214
1933-10-06,-0.24,-0.1879
1933-11-06,-0.31,-0.2548
1933-12-06,-0.47,-0.4069
1934-01-06,-0.27,-0.3102
1934-02-06,-0.04,-0.0231
1934-03-06,-0.31,-0.2574
1934-04-06,-0.27,-0.2318
1934-05-06,-0.11,-0.0444
1934-06-06,-0.14,-0.0025
1934-07-06,-0.11,-0.0894
1934-08-06,-0.1,-0.0548
1934-09-06,-0.16,-0.1226
1934-10-06,-0.11,-0.0693
1934-11-06,-0.01,0.0128
1934-12-06,-0.09,-0.0256
1935-01-06,-0.37,-0.2894
1935-02-06,0.11,0.1659
1935-03-06,-0.13,-0.1475
1935-04-06,-0.35,-0.2567
1935-05-06,-0.26,-0.2038
1935-06-06,-0.23,-0.1706
1935-07-06,-0.19,-0.1155
1935-08-06,-0.17,-0.1003
1935-09-06,-0.17,-0.0916
1935-10-06,-0.08,-0.013000000000000001
1935-11-06,-0.29,-0.2707
1935-12-06,-0.22,-0.1769
1936-01-06,-0.29,-0.2547
1936-02-06,-0.39,-0.3137
1936-03-06,-0.23,-0.2107
1936-04-06,-0.2,-0.1789
1936-05-06,-0.17,-0.1178
1936-06-06,-0.19,-0.1075
1936-07-06,-0.06,-0.0139
1936-08-06,-0.12,-0.0557
1936-09-06,-0.06,-0.0389
1936-10-06,-0.04,-0.0224
1936-11-06,-0.05,-0.0275
1936-12-06,-0.04,-0.0193
1937-01-06,-0.11,-0.1684
1937-02-06,0.05,0.0385
1937-03-06,-0.17,-0.1823
1937-04-06,-0.17,-0.1262
1937-05-06,-0.07,-0.0187
1937-06-06,-0.08,0.0126
1937-07-06,-0.05,-0.0004
1937-08-06,0.03,0.09300000000000001
1937-09-06,0.14,0.1316
1937-10-06,0.1,0.1137
1937-11-06,0.09,0.0099
1937-12-06,-0.12,-0.0919
1938-01-06,0.0,-0.0378
1938-02-06,-0.04,-0.054000000000000006
1938-03-06,0.05,0.0308
1938-04-06,0.05,0.0428
1938-05-06,-0.07,-0.019
1938-06-06,-0.17,-0.0939
1938-07-06,-0.09,-0.0505
1938-08-06,-0.04,-0.0149
1938-09-06,0.03,0.0293
1938-10-06,0.11,0.0724
1938-11-06,0.01,0.0039
1938-12-06,-0.26,-0.2541
1939-01-06,-0.13,-0.1665
1939-02-06,-0.12,-0.1137
1939-03-06,-0.2,-0.1897
1939-04-06,-0.12,-0.1319
1939-05-06,-0.07,-0.0366
1939-06-06,-0.08,-0.0077
1939-07-06,-0.06,0.0061
1939-08-06,-0.05,0.0555
1939-09-06,0.0,0.0111
1939-10-06,-0.03,-0.0427
1939-11-06,0.06,0.044000000000000004
1939-12-06,0.4,0.4057
1940-01-06,-0.15,-0.1226
1940-02-06,0.06,0.0514
1940-03-06,0.12,0.0671
1940-04-06,0.16,0.1286
1940-05-06,0.05,0.0556
1940-06-06,0.05,0.1039
1940-07-06,0.1,0.1459
1940-08-06,0.01,0.0902
1940-09-06,0.12,0.1483
1940-10-06,0.07,0.0993
1940-11-06,0.13,0.1004
1940-12-06,0.19,0.2683
1941-01-06,0.13,0.1802
1941-02-06,0.23,0.22699999999999998
1941-03-06,0.06,0.1023
1941-04-06,0.11,0.2229
1941-05-06,0.1,0.2446
1941-06-06,0.04,0.1614
1941-07-06,0.15,0.2069
1941-08-06,0.14,0.1736
1941-09-06,0.02,0.0881
1941-10-06,0.24,0.313
1941-11-06,0.12,0.2212
1941-12-06,0.14,0.2108
1942-01-06,0.26,0.2983
1942-02-06,0.05,0.0971
1942-03-06,0.13,0.1771
1942-04-06,0.14,0.19
1942-05-06,0.14,0.1665
1942-06-06,0.11,0.2098
1942-07-06,0.02,0.0768
1942-08-06,-0.03,0.044000000000000004
1942-09-06,0.0,0.1179
1942-10-06,0.06,0.1495
1942-11-06,0.13,0.16699999999999998
1942-12-06,0.12,0.1515
1943-01-06,-0.01,-0.0241
1943-02-06,0.22,0.1683
1943-03-06,0.01,0.0762
1943-04-06,0.13,0.1726
1943-05-06,0.1,0.1326
1943-06-06,-0.01,0.0245
1943-07-06,0.14,0.183
1943-08-06,0.03,0.0992
1943-09-06,0.11,0.1425
1943-10-06,0.3,0.3095
1943-11-06,0.25,0.2459
1943-12-06,0.28,0.3539
1944-01-06,0.41,0.4241
1944-02-06,0.31,0.3032
1944-03-06,0.34,0.3676
1944-04-06,0.27,0.2718
1944-05-06,0.26,0.2618
1944-06-06,0.22,0.3348
1944-07-06,0.23,0.3145
1944-08-06,0.23,0.2804
1944-09-06,0.31,0.3855
1944-10-06,0.27,0.32299999999999995
1944-11-06,0.12,0.1518
1944-12-06,0.05,0.0951
1945-01-06,0.13,0.1535
1945-02-06,0.02,0.0149
1945-03-06,0.11,0.1072
1945-04-06,0.24,0.2764
